"id";"name";"affiliation";"citedby";"pub_title";"pub_year";"citations";"pub_author";"eprint"
8751;"Konstantin Matveev";"Associate Professor of Mechanical Engineering, Washington State University";1373;"Limit-cycle properties of a Rijke tube";"2003";12;"KI Matveev and FEC Culick";"http://ejta.org/archive/articles2003/matveev1.zip"
8752;"NIZAR ALSHARIF";"Assistant Professor, Al-Baha University";125;"Mitigating the effects of position-based routing attacks in vehicular ad hoc networks";"2011";14;"Nizar Alsharif and Albert Wasef and Xuemin Shen";""
8753;"Jennifer E. Graham-Engeland";"The Pennsylvania State University";2026;"Olfactory influences on mood and autonomic, endocrine, and immune function";"2008";123;"Janice K Kiecolt-Glaser and Jennifer E Graham and William B Malarkey and Kyle Porter and Stanley Lemeshow and Ronald Glaser";"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2278291/"
8754;"Philipp Ueffing";"United Nations, Population Division";211;"Global trends in internal migration";"2017";11;"Martin Bell and Elin Charles-Edwards and Aude Bernard and Philipp Ueffing";""
8755;"Karl J.J. Mayrhofer";"Director, Helmholtz-Institute Erlangen-Nürnberg for Renewable Energy (IEK-11), FZ Jülich";16195;"Rational design of the electrode morphology for oxygen evolution–enhancing the performance for catalytic water oxidation";"1970";63;"Aleksandar R Zeradjanin and Angel A Topalov and Quentin Van Overmeere and Serhiy Cherevko and XingXing Chen and Edgar Ventosa and Wolfgang Schuhmann and Karl JJ Mayrhofer";"https://pubs.rsc.org/en/content/articlehtml/2014/ra/c3ra45998e"
8756;"Attila Barócsi";"egyetemi docens, Budapesti Műszaki és Gazdaságtudományi Egyetem";1006;"Acousto-optic mode-locker for Nd: lasers using paratellurite";"1991";11;"HJ Eichler and A Barocsi and L Jakab and B Liu";""
8757;"Jean-Marc Leyssale";"CNRS";731;"Reorganization and growth of metastable α-N2 critical nuclei into stable β-N2 crystals";"2004";33;"Jean-Marc Leyssale and Jerome Delhommelle and Claude Millot";"http://acnp.unibo.it/cgi-ser/start/it/cnr/OpenURL?id=tisearch:ti-ex&sid=google&auinit=JM&aulast=Leyssale&atitle=Reorganization+and+growth+of+metastable+%CE%B1-N2+critical+nuclei+into+stable+%CE%B2-N2+crystals&title=Journal+of+the+American+Chemical+Society&volume=126&issue=39&date=2004&spage=12286"
8758;"Miaofang Chi";"Center for Nanophase Materials Sciences, Oak Ridge National Lab";15415;"Uncovering the roles of oxygen vacancies in cation migration in lithium excess layered oxides";"1970";121;"Danna Qian and Bo Xu and Miaofang Chi and Ying Shirley Meng";""
8759;"Xiaomiao Feng";"Nanjing University of Posts and Telecommunications";3282;"Polyaniline/Au composite hollow spheres: synthesis, characterization, and application to the detection of dopamine";"2006";336;"Xiaomiao Feng and Changjie Mao and Gang Yang and Wenhua Hou and Jun-Jie Zhu";"https://pdfs.semanticscholar.org/2e68/f2a3eac0d45968c7561411ec26d541eacd52.pdf"
8760;"Lopez-Alvarez,Gustavo";"Universidad EAFIT";4737;"Borges, libros y lecturas: catálogo de la colección Jorge Luis Borges en la Biblioteca Nacional";"1970";32;"Laura Rosato and Germán Álvarez";""
8761;"Udo Netzelmann";"Fraunhofer Institute for Nondestructive Testing";1050;"Infrarotsensoren für die dynamische Thermografie und ihre Anwendung in der zerstörungsfreien Materialprüfung. 5";"1970";6;"G Walle and Udo Netzelmann and T Vetterlein and N Meyendorf";""
8762;"muthyala murali krishna kumar";"andhra university";27881;"Polymer-anchored oxoperoxo complexes of vanadium (V), molybdenum (VI) and tungsten (VI) as catalyst for the oxidation of phenol and styrene using hydrogen peroxide as oxidant";"2006";56;"Mannar R Maurya and Maneesh Kumar and Sweta Sikarwar";""
8763;"Aleksandra Rosa-Gruszecka";"Instytut Badawczy Leśnictwa";55;"Krótkoterminowa prognoza występowania ważniejszych szkodników i chorób infekcyjnych drzew leśnych w Polsce w 2002 roku: temat: BLP-212: opracowano na podstawie materiałów …";"1970";6;"Andrzej Kolk and Zbigniew Sierota and Monika Małecka and Teresa Stocka and Instytut Badawczy Leśnictwa";""
8764;"James O. Fiet";"Brown Forman Chair in Entrepreneurship, University of Louisville";5954;"Optimism and environmental uncertainty: Implications for entrepreneurial performance";"1970";7;"Keith M Hmieleski and RA Baron and A Zacharakis and SA Alvarez and P Davidsson and J Fiet and G George and DF Kuratko and CM Mason and M Maula and M Minniti and S Sarasvathy and DA Shepherd and P Westhead and J Wiklund and M Wright and SA Zahra";"https://fusionmx.babson.edu/entrep/fer/2006FER/chapter_vi/paperfr_vi_2.html"
8765;"Odilon Gomes Pereira";"Universidade Federal de Viçosa";3756;"Fatores limitantes ao crescimento do capim-tanzânia em um sistema agrossilvipastoril com eucalipto, na região dos cerrados de Minas Gerais";"1970";70;"Carlos Mauricio Soares de Andrade and Rasmo Garcia and Laércio Couto and Odilon Gomes Pereira";""
8766;"Tarek Moustafa";"Univ.-Ass. Mag. Dr.rer.nat";3735;"Selective activation of nuclear bile acid receptor FXR in the intestine protects mice against cholestasis";"2012";191;"Salvatore Modica and Michele Petruzzelli and Elena Bellafante and Stefania Murzilli and Lorena Salvatore and Nicola Celli and Giuseppe Di Tullio and Giuseppe Palasciano and Tarek Moustafa and Emina Halilbasic and Michael Trauner and Antonio Moschetta";"https://www.gastrojournal.org/article/S0016-5085(11)01502-2/fulltext"
8767;"Vladimir Pravosudov";"Professor of Biology, University of Nevada Reno";3869;"Elevation-related differences in female mate preference in mountain chickadees: are smart chickadees choosier?";"2015";16;"Carrie L Branch and Dovid Y Kozlovsky and Vladimir V Pravosudov";"http://datanuggets.org/wp-content/uploads/2016/11/Branch-et-al.-2015_ABS.pdf"
8768;"Jes Olesen";"Professor i Neurologi";74403;"Clinical characteristics of migraine and episodic tension‐type headache in relation to old and new diagnostic criteria";"1990";126;"Helle K Iversen and Michael Langemark and Poul Gertz Andersson and Per Evald Hansen and Jes Olesen";""
8769;"Marjolein Lugtenberg";"Unknown affiliation";1388;"Integratie deeltijd werken chirurgen: meningen over de organisatie van deeltijd werken en arbeidsprduktiviteit van maatschappen met en zonder deeltijders";"1970";2;"PJM Heiligers and Judith de Jong and Lammert Hingstman and Marjolein Lugtenberg and Peter Groenewegen";""
8770;"Nathan Shapiro";"Beth Israel Deaconess MEdical Center";17481;"Emergency department abnormal vital sign “triggers” program improves time to therapy";"2011";31;"Daniel C McGillicuddy and Francis J O’Connell and Nathan I Shapiro and Shelly A Calder and Lawrence J Mottley and Jonathan C Roberts and Leon D Sanchez";"https://onlinelibrary.wiley.com/doi/full/10.1111/j.1553-2712.2011.01056.x"
8771;"Jung-Wei Chen";"Loma Linda University";763;"Clinical and radiographic success of mineral trioxide aggregate compared with formocresol as a pulpotomy treatment in primary molars: a systematic review and meta-analysis";"2014";26;"Abdullah A Marghalani and Samah Omar and Jung-Wei Chen";"https://jada.ada.org/article/S0002-8177(14)60088-X/fulltext"
8772;"Xudong Wang";"university of Wisconsin Madison";18325;"Directed self-assembly of block copolymer films on atomically-thin graphene chemical patterns";"2016";11;"Tzu-Hsuan Chang and Shisheng Xiong and Robert M Jacobberger and Solomon Mikael and Hyo Seon Suh and Chi-Chun Liu and Dalong Geng and Xudong Wang and Michael S Arnold and Zhenqiang Ma and Paul F Nealey";""
8773;"M. Harrison";"Language Learning Books Author";41465;"Surface model and exchange-correlation functional effects on the description of ";"2002";53;"JRB Gomes and F Illas and N Cruz Hernández and J Fernández Sanz and A Wander and NM Harrison";"https://cyberleninka.org/article/n/1027929.pdf"
8774;"Chien Hung Lai (賴建宏)";"Chung Yuan";31145;"Synthesis and photocatalytic activity of calcium antimony oxide hydroxide for the degradation of dyes in water";"2009";57;"Meng Sun and Danzhen Li and Yibin Chen and Wei Chen and Wenjuan Li and Yunhui He and Xianzhi Fu";""
8775;"Sarmad Hussain";"Professor, Center for Language Engineering, KICS-UET";52804;"Middle eocene rodents from the Kala Chitta range (Punjab, Pakistan)";"1970";95;"ST Hussain and H De Bruijn and JM Leinders";""
8776;"Murat Gunduz";"Professor of Civil and Architectural Engineering, Qatar University";819;"Cost assessment of construction projects through neural networks";"2013";4;"Umit Gulcicek and Omer Ozkan and Murat Gunduz and Ismail Hakki Demir";"https://www.researchgate.net/profile/Murat_Gunduz2/publication/263151734_Cost_assessment_of_construction_projects_through_neural_networks/links/573359f808ae298602dce94b.pdf"
8777;"Sarah J Richardson";"University of Exeter Medical School";3521;"Unexpected subcellular distribution of a specific isoform of the Coxsackie and adenovirus receptor, CAR-SIV, in human pancreatic beta cells.";"1970";6;"E Ifie and Richardson SJ";""
8778;"Yuanda Dong (董远达)";"Professor of Material Science, Shanghai University";2396;"The dynamic shear response of the Zr base bulk metallic glass around the calorimetric glass transition temperature";"2005";6;"Q Wang and JM Pelletier and H Xu and L Xia and XH Tan and YD Dong";""
8779;"Nancy M. DiMarco";"Texas Woman's University";2764;"Effects of various dietary animal and vegetable proteins on serum and biliary lipids and on gallstone formation in the hamster";"1985";15;"Mary Anne Sullivan and Anne Duffy and Nancy Dimarco and George Liepa";""
8780;"waltraud x schulze";"Unknown affiliation";9249;"Proteome dynamics and early salt stress response of the photosynthetic organism Chlamydomonas reinhardtii";"2012";68;"Guido Mastrobuoni and Susann Irgang and Matthias Pietzke and Heike E Aßmus and Markus Wenzel and Waltraud X Schulze and Stefan Kempa";"https://bmcgenomics.biomedcentral.com/articles/10.1186/1471-2164-13-215"
8781;"Dennis A. Bazylinski";"University of Nevada at Las Vegas";14521;"Loss of N2O reductase activity as an explanation for poor growth of Pseudomonas aeruginosa on N2O.";"1987";21;"SW Snyder and DA Bazylinski and TC Hollocher";"https://aem.asm.org/content/aem/53/9/2045.full.pdf"
8782;"Mujeeb Ullah Chaudhry";"Durham University";1461;"Temperature dependence of the charge carrier mobility in disordered organic semiconductors at large carrier concentrations";"2010";104;"II Fishchuk and AK Kadashchuk and Jan Genoe and Mujeeb Ullah and H Sitter and Th B Singh and NS Sariciftci and H Bässler";"https://www.researchgate.net/profile/Andrey_Kadashchuk/publication/230580557_Temperature_dependence_of_the_charge_carrier_mobility_in_disordered_organic_semiconductors_at_large_carrier_concentrations/links/0fcfd501980f236ab1000000.pdf"
8783;"Maria del Carmen Bisi Molina";"Professor";3727;"Questionnaire development in ELSA-Brasil: challenges of a multidimensional instrument";"2013";32;"Dóra Chor and Márcia Guimarães de Mello Alves and Luana Giatti and Nágela Valadão Cade and Maria Angélica Nunes and Maria del Carmen Bisi Molina and Isabela M Benseñor and Estela ML Aquino and Valéria Passos and Simone M Santos and Maria de Jesus Mendes da Fonseca and Letícia Cardoso de Oliveira";""
8784;"Li-Wei Ko";"National Chiao Tung University";2858;"Classification of Driver's Cognitive Responses Using Nonparametric Single-trial EEG Analysis";"2007";1;"Chin-Teng Lin and Li-Wei Ko and Ken-Li Lin and Sheng-Fu Liang and Bor-Chen Kuo and I-Fang Chung and Lan-Da Van";"https://ir.nctu.edu.tw/bitstream/11536/7257/1/000251608402139.pdf"
8785;"Yen-Da Chen (陳彥達)";"Department of Computer Information and Network Engineering Lunghwa University of Science and";149860;"Measurement of the top quark pair production cross section in pp collisions at s= 7TeV in dilepton final states with ATLAS";"2012";257;"Georges Aad and B Abbott and J Abdallah and AA Abdelalim and A Abdesselam and O Abdinov and B Abi and M Abolins and H Abramowicz and H Abreu and E Acerbi and BS Acharya and DL Adams and TN Addy and J Adelman and M Aderholz and S Adomeit and P Adragna and T Adye and S Aefsky and JA Aguilar-Saavedra and M Aharrouche and SP Ahlen and F Ahles and A Ahmad and M Ahsan and G Aielli and T Akdogan and TPA Åkesson and G Akimoto and AV Akimov and A Akiyama and MS Alam and MA Alam and J Albert and S Albrand and M Aleksa and IN Aleksandrov and F Alessandria and C Alexa and G Alexander and G Alexandre and T Alexopoulos and M Alhroob and M Aliev and G Alimonti and J Alison and M Aliyev and PP Allport and SE Allwood-Spiers and J Almond and A Aloisio and R Alon and A Alonso and MG Alviggi and K Amako and P Amaral and C Amelung and VV Ammosov and A Amorim and G Amorós and N Amram and C Anastopoulos and LS Ancu and N Andari and T Andeen and CF Anders and G Anders and KJ Anderson and A Andreazza and V Andrei and M-L Andrieux and XS Anduaga and A Angerami and F Anghinolfi and N Anjos and A Annovi and A Antonaki and M Antonelli and A Antonov and J Antos and F Anulli and S Aoun and L Aperio Bella and R Apolle and G Arabidze and I Aracena and Y Arai and ATH Arce and JP Archambault and S Arfaoui and J-F Arguin and E Arik and M Arik and AJ Armbruster and O Arnaez and C Arnault and A Artamonov and G Artoni and D Arutinov and S Asai and R Asfandiyarov and S Ask and B Åsman and L Asquith and K Assamagan and A Astbury and A Astvatsatourov and G Atoian and B Aubert and B Auerbach and E Auge and K Augsten and M Aurousseau and N Austin and G Avolio and R Avramidou and D Axen and Cano Ay and G Azuelos and Y Azuma and MA Baak and G Baccaglioni and C Bacci and AM Bach and H Bachacou and K Bachas and G Bachy and M Backes and M Backhaus and E Badescu and P Bagnaia and S Bahinipati and Y Bai and DC Bailey and T Bain and JT Baines and OK Baker and MD Baker and S Baker and E Banas and P Banerjee and Sw Banerjee and D Banfi and A Bangert and V Bansal and HS Bansil and L Barak and SP Baranov and A Barashkou";""
8786;"Jian-Sheng Wang";"Department of Physics, National University of Singapore";14812;"A theoretical mechanistic study on electrical conductivity enhancement of DMSO treated PEDOT: PSS";"1970";10;"Erol Yildirim and Gang Wu and Xue Yong and Teck Leong Tan and Qiang Zhu and Jianwei Xu and Jianyong Ouyang and Jian-Sheng Wang and Shuo-Wang Yang";""
8787;"Yong-Su Jin";"Professor of Food Microbiology, University of Illinoise at Urbana-Champaign";7217;"Engineering of NADPH regenerators in Escherichia coli for enhanced biotransformation";"2013";52;"Won-Heong Lee and Myoung-Dong Kim and Yong-Su Jin and Jin-Ho Seo";""
8788;"Catalina Hidalgo-Nieto";"Universidad del Rosario, Escuela de Ciencias Humanas, GI Estética y Política";5;"Hermenéutica y Argumentación: Aportes para la comprensión del diálogo intercultural";"1970";5;"Catalina Hidalgo Nieto";"https://www.redalyc.org/pdf/3798/379847068007.pdf"
8789;"Pingze Zhang";"Jilin University";3054;"Changes of serum levels of MMP-3, sRANKL, and OPG in juvenile-onset ankylosing spondylitis patients carrying different HLA-B27 subtypes";"2015";10;"Yi-Kun Mou and Ping-Ping Zhang and Qiu-Xia Li and Zhi-Ming Lin and Ze-Tao Liao and Qiu-Jing Wei and Jie-Ruo Gu";""
8790;"Roberto Rivelino";"Universidade Federal da Bahia";1302;"Evolution of the Atomic and Bond Properties of Hydrogen Peroxide During Internal Rotation";"2000";12;"Roberto R de Melo Moreno and Ana M Graña and Ricardo A Mosquera";""
8791;"Vicente Plaza";"PhD, MD";5580;"Comparison of three combined pharmacological approaches with tiotropium monotherapy in stable moderate to severe COPD: a systematic review";"2012";53;"Gustavo J Rodrigo and Vicente Plaza and José A Castro-Rodríguez";""
8792;"Holger Hoos";"Professor of Computer Science, Leiden University & University of British Columbia";23694;"Understanding the empirical hardness of NP-complete problems";"2014";28;"Kevin Leyton-Brown and Holger H Hoos and Frank Hutter and Lin Xu";"http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.737.1632&rep=rep1&type=pdf"
8793;"Mark Berendsen";"Northwestern University";672;"Pre-hospital policies for the care of patients with acute coronary syndromes in India: a policy document analysis";"2017";3;"Amisha Patel and Dorairaj Prabhakaran and Mark Berendsen and PP Mohanan and Mark D Huffman";"https://www.sciencedirect.com/science/article/pii/S0019483216302413"
8794;"Takeshi Bamba";"Medical Institute of Bioregulation, Kyushu University";5425;"Isolation and characterization of a novel antistress gene from Chlamydomonas sp. W80";"2009";11;"Yoshito Suda and Tomoaki Yoshikawa and Yuko Okuda and Mei Tsunemoto and Satoshi Tanaka and Kazunori Ikeda and Hitoshi Miyasaka and Masanori Watanabe and Ken Sasaki and Kazuo Harada and Takeshi Bamba and Kazumasa Hirata";""
8795;"Taeyoung Lee";"Mechanical and Aerospace Engineering, George Washington University";3735;"Geometric tracking control of the attitude dynamics of a rigid body on SO (3)";"2011";72;"Taeyoung Lee";"https://arxiv.org/pdf/1010.1725"
8796;"Ana Tereza Bittencourt Guimarães";"Professora de Bioestatística, Universidade Estadual do Oeste do Paraná";926;"What is in the shadow of the longshoremen’s work load";"1970";2;"AA Motter and M Santos and AT Guimarães";""
8797;"Konstantin Matveev";"Associate Professor of Mechanical Engineering, Washington State University";1373;"Hydrodynamic modeling of planing catamarans with symmetric hulls";"2016";11;"Ghazi S Bari and Konstantin I Matveev";""
8798;"Dr. Oscar Bomati-Miguel";"Universidad Autónoma de Madrid";1673;"Magnetic behavior of superparamagnetic Fe nanocrystals confined inside submicron-sized spherical silica particles";"2004";91;"P Tartaj and T Gonzalez-Carreno and O Bomati-Miguel and CJ Serna and P Bonville";"https://www.researchgate.net/profile/Oscar_Bomati-Miguel/publication/259302097_Magnetic_Behavior_of_Superparamagnetic_Fe_Nanocrystals_Confined_Inside_Submicron-Sized_Spherical_Silica_Particles/links/543297540cf22395f29c2ac2/Magnetic-Behavior-of-Superparamagnetic-Fe-Nanocrystals-Confined-Inside-Submicron-Sized-Spherical-Silica-Particles.pdf"
8799;"Zhang Xiao 张翛";"Tongji University, Shanxi Transportation Research Institute";13987;"Linking language, visual-spatial, and executive function skills to number competence in very young Chinese children";"2016";25;"Xiao Zhang";""
8800;"Shahin Yazdani";"Shahid Beheshti University of Medical Sciences";4549;"Biometric changes after trabeculectomy with contact and non-contact biometry";"2016";6;"Azam Alvani and Mohammad Pakravan and Hamed Esfandiari and Mehdi Yaseri and Shahin Yazdani and Elham Ghahari";""
8801;"Lopez-Alvarez,Gustavo";"Universidad EAFIT";4737;"Effects of cladode age on biomass yield and nutritional value of intensively produced spineless cactus for ruminants";"1970";30;"JM Pinos-Rodríguez and JC Velázquez and SS González and JR Aguirre and JC García and G Álvarez and Y Jasso";"https://www.ajol.info/index.php/sajas/article/download/61812/99027"
8802;"Leandro Miranda-Alves";"Instituto de Ciências Biomédicas, Universidade Federal do Rio de Janeiro";659;"Validation of immunohistochemistry for somatostatin receptor subtype 2A in human somatotropinomas: comparison between quantitative real time RT-PCR and immunohistochemistry";"2012";21;"LEA Wildemberg and L Vieira Neto and DF Costa and LE Nasciutti and CM Takiya and LM Alves and MR Gadelha";"https://www.researchgate.net/profile/Leandro_Miranda-Alves/publication/51624426_Validation_of_immunohistochemistry_for_somatostatin_receptor_subtype_2A_in_human_somatotropinomas_Comparison_between_quantitative_real_time_RT-PCR_and_immunohistochemistry/links/0f317532854fd32cd8000000.pdf"
8803;"Christian Rojas";"Universidad Tecnica Federico Santa Maria";2690;"Predictive current control with reactive power minimization in an indirect matrix converter";"2010";21;"J Rodriguez and J Kolar and J Espinoza and M Rivera and C Rojas";""
8804;"Carlo Albino Frigo";"Politecnico di Milano";5027;"A novel wearable apparatus to measure fingertip forces in manipulation tasks based on MEMS barometric sensors";"2016";5;"Pietro Cerveri and Mauro Quinzi and Dario Bovio and Carlo Albino Frigo";""
8805;"Aleksandra Rosa-Gruszecka";"Instytut Badawczy Leśnictwa";55;"Truffle renaissance in Poland – history, present and prospects";"2017";4;"Rosa-Gruszecka and Hilszczańska and Gil and Kosel";""
8806;"Ignacio Mena";"icahn school of MEDICINE at mount sinai";1780;"Coxsackievirus B3 and the neonatal CNS: the roles of stem cells, developing neurons, and apoptosis in infection, viral dissemination, and disease";"2003";154;"Ralph Feuer and Ignacio Mena and Robb R Pagarigan and Stephanie Harkins and Daniel E Hassett and J Lindsay Whitton";"https://www.ncbi.nlm.nih.gov/pmc/articles/pmc1868316/"
8807;"Maria Grazia Tozzi";"Professore di Biochimica Università di Pisa";2242;"The druggability of intracellular nucleotide-degrading enzymes";"2016";15;"Chiara Rampazzo and Maria Grazia Tozzi and Charles Dumontet and Lars Petter Jordheim";""
8808;"Sangeeta Ray Banerjee";"Associate Professor, Johns Hopkins University";3084;"Ultrahigh affinity Raman probe for targeted live cell imaging of prostate cancer";"1970";22;"Ming Li and Sangeeta Ray Banerjee and Chao Zheng and Martin G Pomper and Ishan Barman";""
8809;"Karl J.J. Mayrhofer";"Director, Helmholtz-Institute Erlangen-Nürnberg for Renewable Energy (IEK-11), FZ Jülich";16195;"Investigating the real time dissolution of Mg using online analysis by ICP-MS";"2014";63;"Lisa Rossrucker and Karl Johann Jakob Mayrhofer and Gerald S Frankel and Nick Birbilis";"http://jes.ecsdl.org/content/161/3/C115.full"
8810;"Giulia Galli";"Liew Family Professor of Molecular Engineering, Professor of Chemistry,University of Chicago";27120;"Ab-initio molecular dynamics: Principles and practical implementation";"1970";188;"Giulia Galli and Michele Parrinello";""
8811;"Yoshikazu Fukuyama";"School of Interdiciplinary Mathematical Science, Meiji University";6000;"Total Optimization of Smart City by Brain Storm Optimization";"2018";3;"Mayuko Sato and Yoshikazu Fukuyama";""
8812;"Carlos Eduardo Maduro de Campos";"Universidade Federal de Santa Catarina";1938;"Effects of photoacoustic measurements on a nanostructured ZnSe mechanically alloyed";"2008";10;"J Baltazar-Rodrigues and JC De Lima and CEM Campos and TA Grandi";""
8813;"Vladimir Pravosudov";"Professor of Biology, University of Nevada Reno";3869;"Interaction between territoriality, spatial environment, and hippocampal neurogenesis in male side-blotched lizards.";"2013";16;"Lara D LaDage and Roxolana M Maged and Michael V Forney and II Roth and C Timothy and Barry Sinervo and Vladimir V Pravosudov";"https://pdfs.semanticscholar.org/6c1b/deb0425dd5418a22da7db600fcd8feb370df.pdf"
8814;"Jennifer E. Graham-Engeland";"The Pennsylvania State University";2026;"Hostility and pain are related to inflammation in older adults";"2006";122;"Jennifer E Graham and Theodore F Robles and Janice K Kiecolt-Glaser and William B Malarkey and Michael G Bissell and Ronald Glaser";"https://pdfs.semanticscholar.org/3f36/93863f39c63e84911dc1cb0224140bd63814.pdf"
8815;"Attila Barócsi";"egyetemi docens, Budapesti Műszaki és Gazdaságtudományi Egyetem";1006;"Excitation kinetics during induction of chlorophyll a fluorescence";"2009";10;"A Barócsi and S Lenk and L Kocsányi and C Buschmann";""
8816;"muthyala murali krishna kumar";"andhra university";27881;"Artocarpus gomezianus aided green synthesis of ZnO nanoparticles: Luminescence, photocatalytic and antioxidant properties";"2015";55;"D Suresh and RM Shobharani and PC Nethravathi and MA Pavan Kumar and H Nagabhushana and SC Sharma";""
8817;"Xudong Wang";"university of Wisconsin Madison";18325;"Studies on a synthetic sitinakite-type silicotitanate cation exchanger. Part 2. Effect of alkaline earth and alkali metals on the uptake of Cs and Sr radioisotopes";"2009";11;"Alan Dyer and Jon Newton and Luke O’Brien and Scott Owens";""
8818;"Robert Kennicutt";"Professor of Astronomy, University of Cambridge";60140;"The effects of interactions on spiral galaxies. I-Nuclear activity and star formation";"1985";87;"William C Keel and RC Kennicutt Jr and E Hummel and JM Van der Hulst";"http://adsabs.harvard.edu/full/1985AJ.....90..708K"
8819;"Jean-Marc Leyssale";"CNRS";731;"Structure of an amorphous boron carbide film: An experimental and computational approach";"2013";30;"Camille Pallier and Jean-Marc Leyssale and Lionel A Truflandier and Anh Thy Bui and Patrick Weisbecker and Christel Gervais and Henry E Fischer and Fausto Sirotti and Francis Teyssandier and Georges Chollon";"http://acnp.unibo.it/cgi-ser/start/it/cnr/OpenURL?id=tisearch:ti-ex&sid=google&auinit=C&aulast=Pallier&atitle=Structure+of+an+amorphous+boron+carbide+film:+An+experimental+and+computational+approach&title=Chemistry+of+materials&volume=25&issue=13&date=2013&spage=2618"
8820;"Odilon Gomes Pereira";"Universidade Federal de Viçosa";3756;"Características químicas de solo submetido ao tratamento com esterco líquido de suínos e cultivado com gramíneas forrageiras";"1970";68;"Odilon Pereira Gomes";""
8821;"Kelly Yuliana Celis Ramirez";"Estudiante de Ingeniería Ambiental Universidad Ecci";1024;"Improving Magnetooptical Faraday Effect of maghemite/silica nanocomposites";"2015";2;"R García and M Ramírez-Del-Solar and JM González-Leal and E Blanco and M Domínguez";""
8822;"Shaobin Wang";"Professor, School of Chemical Engineering, The University of Adelaide, Australia";29877;"Identification and regulation of active sites on nanodiamonds: establishing a highly efficient catalytic system for oxidation of organic contaminants";"2018";69;"Penghui Shao and Jiayu Tian and Feng Yang and Xiaoguang Duan and Shanshan Gao and Wenxin Shi and Xubiao Luo and Fuyi Cui and Shenglian Luo and Shaobin Wang";"https://www.researchgate.net/profile/Penghui_Shao/publication/322548538_Identification_and_Regulation_of_Active_Sites_on_Nanodiamonds_Establishing_a_Highly_Efficient_Catalytic_System_for_Oxidation_of_Organic_Contaminants/links/5abef72ba6fdcccda65a0de4/Identification-and-Regulation-of-Active-Sites-on-Nanodiamonds-Establishing-a-Highly-Efficient-Catalytic-System-for-Oxidation-of-Organic-Contaminants.pdf"
8823;"NIZAR ALSHARIF";"Assistant Professor, Al-Baha University";125;"Link duration estimation using neural networks based mobility prediction in vehicular networks";"2016";7;"Nizar Alsharif and Khalid Aldubaikhy and Xuemin Sherman Shen";""
8824;"Miaofang Chi";"Center for Nanophase Materials Sciences, Oak Ridge National Lab";15415;"Comparing Wild 2 particles to chondrites and IDPs";"2008";118;"Michael Zolensky and Keiko Nakamura‐Messenger and Frans Rietmeijer and Hugues Leroux and Takashi Mikouchi and Kazumasa Ohsumi and Steven Simon and Lawrence Grossman and Thomas Stephan and Michael Weisberg and Michael Velbel and Thomas Zega and Rhonda Stroud and Kazushige Tomeoka and Ichiro Ohnishi and Naotaka Tomioka and Tomoki Nakamura and Graciela Matrajt and David Joswiak and Donald Brownlee and Falko Langenhorst and Alexander Krot and Anton Kearsley and Hope Ishii and Giles Graham and Zu Rong Dai and Miaofang Chi and John Bradley and Kenji Hagiya and Matthieu Gounelle and Lindsay Keller and John Bridges";""
8825;"Changhoon Park";"Hoseo University";158;"Naver: a PC-cluster-based VR system";"2003";3;"ChangHoon Park and HeeDong Ko and TaiYun Kim";""
8826;"Jung-Wei Chen";"Loma Linda University";763;"Veneer retention of preveneered primary stainless steel crowns after crimping";"2008";23;"Monica Gupta and Jung-Wei Chen and Joe C Ontiveros";"https://www.researchgate.net/profile/Joe_Ontiveros/publication/5344603_Veneer_retention_of_preveneered_primary_stainless_steel_crowns_after_crimping/links/5729f8b908aef7c7e2c4eb04.pdf"
8827;"Florian Walder";"Research Scientist, Agroscope";598;"Tracking the carbon source of arbuscular mycorrhizal fungi colonizing C3 and C4 plants using carbon isotope ratios (δ13C)";"2013";6;"Florian Walder and Helge Niemann and Moritz F Lehmann and Thomas Boller and Andres Wiemken and Pierre-Emmanuel Courty";""
8828;"kristen e. boon";"Seton Hall Law";593;"Assessing the GWOT";"1970";1;"Kristen E Boon";""
8829;"Carlos Antonio Martinez Palacios";"UNIVERSIDAD MICHOACANA DE SAN NICOLAS DE HIDALGO";2536;"Evaluation of a microbound spray-dried feed for the rearing of penaeid shrimp larvae";"2000";8;"CE Medina-Reyna and MC Chavez-Sanchez and CA Martínez-Palacios and R Pedroza-Islas";""
8830;"Philipp Ueffing";"United Nations, Population Division";211;"The IMAGE repository: A user guide";"2014";11;"Martin Bell and Aude Bernard and Philipp Ueffing and Elin Charles-Edwards";""
8831;"Sarmad Hussain";"Professor, Center for Language Engineering, KICS-UET";52804;"FANCG promotes formation of a newly identified protein complex containing BRCA2, FANCD2 and XRCC3";"2008";93;"JB Wilson and K Yamamoto and AS Marriott and S Hussain and P Sung and ME Hoatlin and CG Mathew and M Takata and LH Thompson and GM Kupfer and NJ Jones";"https://www.researchgate.net/profile/Shobbir_Hussain/publication/5638474_FANCG_promotes_formation_of_a_newly_identified_protein_complex_containing_BRCA2_FANCD2_and_XRCC3/links/004635345251952c71000000/FANCG-promotes-formation-of-a-newly-identified-protein-complex-containing-BRCA2-FANCD2-and-XRCC3.pdf"
