article_id,affiliation,citedby,pub_title,pub_year,citations,pub_author,eprint,journal_id
208,"Unknown affiliation",1103,"Computational and experimental investigation of flow over a transient pitching hydrofoil",2009,68,"Antoine Ducoin and Jacques André Astolfi and François Deniset and Jean-François Sigrist",,143
209,"University of Pennsylvania",542,"Integrated Linguistic Resources for Language Exploitation Technologies.",2006,11,"Stephanie M Strassel and Christopher Cieri and Andrew Cole and Denise DiPersio and Mark Liberman and Xiaoyi Ma and Mohamed Maamouri and Kazuaki Maeda",,NULL
210,"Research Staff, Lawrence Livermore National Laboratory",1028,"Scattering of phonons from a high-energy grain boundary in silicon: Dependence on angle of incidence",2007,54,"Chris Kimmer and Sylvie Aubry and Ashton Skye and Patrick K Schelling",,2
211,"Department of Physics, National University of Singapore",14812,"The Monte Carlo method in condensed matter physics",2012,441,"Artur Baumgärtner and AN Burkitt and DM Ceperley and H De Raedt and AM Ferrenberg and DW Heermann and HJ Herrmann and DP Landau and D Levesque and W von der Linden and JD Reger and KE Schmidt and W Selke and D Stauffer and RH Swendsen and J-S Wang and JJ Weis and AP Young",,NULL
212,"Professor, Spatial Hearing Laboratory, Chiba Institute of Technology, Japan",1005,"Upper hemisphere sound localization using head-related transfer functions in the median plane and interaural differences",1970,38,"Masayuki Morimoto and Kazuhiro Iida and Motokuni Itoh",https://www.jstage.jst.go.jp/article/ast/24/5/24_5_267/_pdf,144
213,"Escola de Química e Alimentos, Universidade Federal do Rio Grande - FURG",290,"Introducing undergraduates to research using a Suzuki–Miyaura cross-coupling organic chemistry miniproject",2015,15,"Deyvid GM Oliveira and Clarissa H Rosa and Bruna P Vargas and Diego S Rosa and Márcia V Silveira and Neusa F de Moura and Gilber R Rosa",https://www.researchgate.net/profile/Gilber_Rosa/publication/275256396_Introducing_Undergraduates_to_Research_Using_a_Suzuki-Miyaura_Cross-Coupling_Organic_Chemistry_Miniproject/links/5a0ec549458515de0329a9bc/Introducing-Undergraduates-to-Research-Using-a-Suzuki-Miyaura-Cross-Coupling-Organic-Chemistry-Miniproject.pdf,145
214,"Professor of Mathematics, University of Wollongong, Australia",2497,"Solving linear diffusion equations with the dual reciprocity method in Laplace space",1994,104,"Songping Zhu and Pornchai Satravaha and Xiaoping Lu",,146
215,"Unknown affiliation",3489,"Latex allergy can induce clinical reactions to specific foods",1996,301,"DH Beezhold and GL Sussman and GM Liss and N‐S Chang",https://www.researchgate.net/profile/Nan-Shan_Chang/publication/14470741_Latex_can_induce_clinical_reactions_to_specific_foods/links/5b1cb127aca272021cf47993/Latex-can-induce-clinical-reactions-to-specific-foods.pdf,147
216,"University of Chicago",2312,"Dicyanomethylene-Substituted Fused Tetrathienoquinoid for High-Performance, Ambient-Stable, Solution-Processable n-Channel Organic Thin-Film Transistors.",2011,94,"Qinghe Wu and Rongjin Li and Wei Hong and Hongxiang Li and Xike Gao and Daoben Zhu",,124
217,"National Chiao Tung University",2858,"An intelligent telecardiology system using a wearable and wireless ECG to detect atrial fibrillation",2010,149,"Chin-Teng Lin and Kuan-Cheng Chang and Chun-Ling Lin and Chia-Cheng Chiang and Shao-Wei Lu and Shih-Sheng Chang and Bor-Shyh Lin and Hsin-Yueh Liang and Ray-Jade Chen and Yuan-Teh Lee and Li-Wei Ko",https://ir.nctu.edu.tw/bitstream/11536/5476/1/000278538300023.pdf,148
218,"University of Freiburg, Germany and Concept Engineering GmbH, Freiburg, Germany",905,"Compositional dependability evaluation for STATEMATE",2009,49,"Eckard Böde and Marc Herbstritt and Holger Hermanns and Sven Johr and Thomas Peikenkamp and Reza Pulungan and Jan Rakow and Ralf Wimmer and Bernd Becker",http://www.academia.edu/download/39669553/Compositional_Dependability_Evaluation_f20151104-29992-1bwcm1a.pdf,149
219,"York MRI Facility, Centre for Vision Research, York University",1011,"TMS to the “occipital face area” affects recognition but not categorization of faces",2013,35,"Lily M Solomon-Harris and Caitlin R Mullin and Jennifer KE Steeves",,150
220,"Professor Adjunto Universidade Federal de Ouro Preto",294,"Methodological remarks on rearing basal Attini ants in the laboratory for biological and evolutionary studies: overview of the genus Mycetophylax",2011,12,"DC Cardoso and MP Cristiano and MG Tavares",https://www.researchgate.net/profile/Danon_Cardoso2/publication/225937035_Methodological_remarks_on_rearing_basal_Attini_ants_in_the_laboratory_for_biological_and_evolutionary_studies_overview_of_the_genus_Mycetophylax/links/00b7d5154555dda97c000000.pdf,39
221,"Postdoc at Joint Genome Institute",660,"Expression analysis of the exo-β-1, 3-glucanase from the mycoparasitic fungus Trichoderma asperellum",2010,68,"César Marcos Marcello and Andrei Stecca Steindorff and Silvana Petrofeza da Silva and Roberto do Nascimento Silva and Luiz Artur Mendes Bataus and Cirano José Ulhoa",https://www.sciencedirect.com/science/article/pii/S0944501308000517,151
222,"National Defense Academy of Japan",681,"Local heat transfer around a wall-mounted cube in the turbulent boundary layer",2001,80,"Hajime Nakamura and Tamotsu Igarashi and Takayuki Tsutsui",http://www.academia.edu/download/46017127/Local_heat_transfer_around_a_wall-mounte20160528-27711-1e92wx8.pdf,152
223,"Charles Sturt University",404,"Evaluating'reporter'voice in two Japanese front-page lead stories",1970,16,"Elizabeth A Thomson and Nagisa Fukui and Peter RR White",,NULL
224,"Michigan State University",2886,"The Important People Drug and Alcohol interview: Psychometric properties, predictive validity, and implications for treatment",2009,84,"William H Zywiak and Charles J Neighbors and Rosemarie A Martin and Jennifer E Johnson and Cheryl A Eaton and Damaris J Rohsenow",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2774263/,153
225,"CNRS Researcher, UMR 6521, University of Brest, France",720,"Diferrocenylbispyrylium Salts and Electron-Rich Diferrocenylbispyran from Oxidative Coupling of Ferrocenylpyran. Induced Electron Transfer C− C Bond Making/Breaking Involving a …",2008,23,"Fatou Ba and Nolwenn Cabon and Francoise Robin-Le Guen and Pascal Le Poul and Nicolas Le Poul and Yves Le Mest and Stéphane Golhen and Bertrand Caro",,154
226,"School of Interdiciplinary Mathematical Science, Meiji University",6000,"Modern heuristic optimization techniques: theory and applications to power systems",2008,736,"Kwang Y Lee and Mohamed A El-Sharkawi",https://epdf.pub/modern-heuristic-optimization-techniques-theory-and-applications-to-power-system.html,NULL
227,"Medical Institute of Bioregulation, Kyushu University",5425,"Time-course metabolic profiling in Arabidopsis thaliana cell cultures after salt stress treatment",2006,253,"Jae Kwang Kim and Takeshi Bamba and Kazuo Harada and Eiichiro Fukusaki and Akio Kobayashi",,155
228,"Professor in Cognitive Development",10480,"Variation in working memory: An introduction",2007,345,"ANDREW RA Conway and CHRISTOPHER Jarrold and MICHAEL J Kane and AKIRA Miyake and JOHN N Towse",,156
229,"NSRI (Nippon Steel & Sumikin Research Institute Corporation)",1572,"The behavior of phosphorous during passivation of weathering steel by protective patina formation",1990,92,"H Kihira and S Ito and T Murata",,96
230,"University of Texas at Rio Grande Valley-School of Medicine",600,"Ovarian steroids alter mu opioid receptor trafficking in hippocampal parvalbumin GABAergic interneurons",2009,29,"Annelyn Torres-Reveron and Tanya J Williams and Jeanette D Chapleau and Elizabeth M Waters and Bruce S McEwen and Carrie T Drake and Teresa A Milner",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3593250/,157
231,"Associate Professor, lektor, Aalborg University",1382,"Towards probe-less augmented reality",1970,38,"Claus B Madsen and Michael Nielsen",https://vbn.aau.dk/ws/portalfiles/portal/14091756/probelessAR.pdf,158
232,"Perugia University",1153,"Olive flowering as an indicator of local climatic changes",2005,62,"F Orlandi and L Ruga and B Romano and M Fornaciari",,159
233,"Zonguldak Bulent Ecevit Universitesi",80,"Effects of autapse and ion channel block on the collective firing activity of Newman–Watts small-world neuronal networks",2017,6,"Rukiye Uzun and Ergin Yilmaz and Mahmut Ozer",,160
234,"chung nam national university",109,"Fine mapping of a QTL for the number of spikelets per panicle by using near‐isogenic lines derived from an interspecific cross between O ryza sativa and O ryza minuta",2013,14,"Sangshetty Balkunde and Hung‐Linh Le and Hyun‐Sook Lee and Dong‐Min Kim and Ju‐Won Kang and Sang‐Nag Ahn",,161
235,"Debreceni Egyetem, Neurológiai Tanszék",2661,"Effect of transient focal ischemia of mouse brain on energy state and NAD levels: no evidence that NAD depletion plays a major role in secondary disturbances of energy metabolism",2000,69,"Wulf Paschen and Laszlo Oláh and Günter Mies",https://onlinelibrary.wiley.com/doi/pdf/10.1046/j.1471-4159.2000.0751675.x,27
236,"School of Mathematical Sciences, University College Dublin",359,"The conformal-mapping method for surface gravity waves in the presence of variable bathymetry and mean current",2014,21,"Claudio Viotti and Denys Dutykh and Frédéric Dias",,162
237,"Berlin University of Technology em.",2556,"Pore size distributions and hydraulic conductivities of rocks derived from magnetic resonance sounding relaxation data using multi-exponential decay time inversion",2008,80,"O Mohnke and U Yaramanci",,18
238,"Post-doc at School of Public Health - University of Sao Paulo",146,"Morphogenetic characterisation, date of divergence, and evolutionary relationships of malaria vectors Anopheles cruzii and Anopheles homunculus",2015,5,"Camila Lorenz and José SL Patané and Lincoln Suesdek",,163
239,"BMT Program Director. National Center for Cancer Care and Research. Hamad Medical Corporation. Doha",3221,"Advances in the allogeneic transplantation for thalassemia",2008,154,"Guido Lucarelli and Javid Gaziev",,NULL
240,"Australian national university",2452,"Southeast Asia in the 9th to 14th Centuries",1970,72,"David G Marr and Anthony Crothers Milner",,NULL
241,"University of Hartford",641,"The development of trunk control and its relation to reaching in infancy: a longitudinal study",2015,29,"Jaya Rachwani and Victor Santamaria and Sandra L Saavedra and Marjorie H Woollacott",https://www.frontiersin.org/articles/10.3389/fnhum.2015.00094,164
242,"McGill University",1413,"The androgen receptor gene mutations database (ARDB): 2004 update",2004,331,"Bruce Gottlieb and Lenore K Beitel and Jian Hui Wu and Mark Trifiro",http://aerg.canberra.edu.au/library/sex_general/2004_Gottlieb_etal_ARMutationsDatabase_HumMut.pdf,165
243,"University of Pennsylvania",542,"Creating Sentence-Aligned Parallel Text Corpora from a Large Archive of Potential Parallel Text using BITS and Champollion.",2008,9,"Kazuaki Maeda and Xiaoyi Ma and Stephanie M Strassel",,NULL
244,"Istituto Italiano di Tecnologia",2566,"Ion Migration and the Role of Preconditioning Cycles in the Stabilization of the J–V Characteristics of Inverted Hybrid Perovskite Solar Cells",2016,103,"Michele De Bastiani and Giorgio Dell'Erba and Marina Gandini and Valerio D'Innocenzo and Stefanie Neutzner and Ajay Ram Srimath Kandada and Giulia Grancini and Maddalena Binda and Mirko Prato and James M Ball and Mario Caironi and Annamaria Petrozza",,6
245,"University of California, San Diego",4119,"Spatial conductivity mapping of carbon nanotube composite thin films by electrical impedance tomography for sensing applications",2007,122,"Tsung-Chin Hou and Kenneth J Loh and Jerome P Lynch",https://deepblue.lib.umich.edu/bitstream/handle/2027.42/58135/nano7_31_315501.pdf?sequence=2&isAllowed=y,166
246,"Lecturer in Psychology,  Nottingham Trent University",95,"Motivators of online vulnerability: The impact of social network site use and FOMO",2017,55,"Sarah L Buglass and Jens F Binder and Lucy R Betts and Jean DM Underwood",http://irep.ntu.ac.uk/id/eprint/28795/1/6335_Buglass.pdf,167
247,"Professor, School of Chemical Engineering, The University of Adelaide, Australia",29877,"Natural zeolites as effective adsorbents in water and wastewater treatment",2010,1375,"Shaobin Wang and Yuelian Peng",https://www.kmizeolite.com/wp-content/uploads/2016/12/Wang_Natural-zealots-as-effective-absorbents-4.pdf,NULL
248,"Ialamic Azad university, Lenjan Branch, Esfahan, Iran",1211,"Investigation of outdoor BTEX: concentration, variations, sources, spatial distribution, and risk assessment",2016,48,"Mohammad Miri and Maryam Rostami Aghdam Shendi and Hamid Reza Ghaffari and Hamideh Ebrahimi Aval and Ehsan Ahmadi and Ebrahim Taban and Abdolmajid Gholizadeh and Mohsen Yazdani Aval and Amir Mohammadi and Ali Azari",http://eprints.semums.ac.ir/900/1/1-s2.0-S0045653516309870-main.pdf,168
249,"Unknown affiliation",1103,"An experimental analysis of fluid structure interaction on a flexible hydrofoil in various flow regimes including cavitating flow",2012,62,"Antoine Ducoin and Jacques André Astolfi and Jean-François Sigrist",,143
250,"Technical University of Sofia",97,"Recognition of human daily activities",2015,5,"Krasimir Tonchev and Strahil Sokolov and Yuliyan Velchev and Georgy Balabanov and Vladimir Poulkov",,NULL
251,"Unknown affiliation",278,"High-dose argatroban for treatment of heparin-induced thrombocytopenia with thrombosis: a case report and review of laboratory considerations",2012,9,"Thaddaus R Hellwig and Gregory J Peitz and Michael P Gulseth",,42
252,"Assoc. prof., CAVE lab dir., grad. prog. dir. (BME), Dept. of Engineering, Aarhus University",1028,"Velocity and directionality of the electrohysterographic signal propagation",2014,26,"Lasse Lange and Anders Vaeggemose and Preben Kidmose and Eva Mikkelsen and Niels Uldbjerg and Peter Johansen",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0086775,7
253,"University of Maragheh",228,"Induction of G1 cell cycle arrest and cyclin D1 down-regulation in response to pericarp extract of Baneh in human breast cancer T47D cells",2012,23,"Parisa Fathi Rezaei and Shamileh Fouladdel and Seyed Mahmood Ghaffari and Gholamreza Amin and Ebrahim Azizi",https://darujps.biomedcentral.com/articles/10.1186/2008-2231-20-101,169
254,"University of Copenhagen",1033,"Can taxes tame the banks? Evidence from the European bank levies",1970,54,"Michael P Devereux and Niels Johannesen and John Vella",http://eureka.sbs.ox.ac.uk/7355/1/Econ%20Journal%20March%202019.pdf,170
255,"Department of Physics, National University of Singapore",14812,"Cluster monte carlo algorithms",1990,344,"Jian-Sheng Wang and Robert H Swendsen",,160
256,NDVSU,286,"Prevalence of gastro-intestinal parasitic infections in goat of Madhya Pradesh, India",1970,16,"A.K. Singh and G. Das and B. Roy and S. Nath and R. Naresh and S. Kumar",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4675575/,171
257,"Universidad de Guadalajara",98,"Expression of transcription factor grainyhead-like 2 is diminished in cervical cancer",1970,34,"Luis A Torres-Reyes and Liliana Alvarado-Ruiz and Patricia Piña-Sánchez and María G Martínez-Silva and Moisés Ramos-Solano and Vicente Olimón-Andalón and Pablo C Ortiz-Lazareno and Georgina Hernández-Flores and Alejandro Bravo-Cuellar and Adriana Aguilar-Lemarroy and Luis F Jave-Suarez",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4270610/,172
258,"Assistant Professor of Business Administration, Technical University of Madrid",95,"Valuation of projects for power generation with renewable energy: A comparative study based on real regulatory options",2013,64,"Manuel Monjas-Barroso and José Balibrea-Iniesta",,173
259,"iran university of medical sciences",116,"Pulmonary function in ulcerative colitis",2008,2,"AH Faghihi-Kashani and A Kabir and SA Javad-Moosavi",http://mjiri.iums.ac.ir/files/site1/user_files_e9487e/admin-A-10-1-189-9969bf5.pdf,174
260,"Professor, Ryerson University",1885,"Introduction: Paths to New Regionalism",2000,368,"Hank V Savitch and Ronald K Vogel",,NULL
261,"Research Staff, Lawrence Livermore National Laboratory",1028,"Modelling dislocations in a free-standing thin film",2009,51,"Christopher R Weinberger and Sylvie Aubry and Seok-Woo Lee and William D Nix and Wei Cai",,175
262,"National Chiao Tung University",2858,"Biosensor technologies for augmented brain–computer interfaces in the next decades",2012,133,"Lun-De Liao and Chin-Teng Lin and Kaleb McDowell and Alma E Wickenden and Klaus Gramann and Tzyy-Ping Jung and Li-Wei Ko and Jyh-Yeong Chang",https://ieeexplore.ieee.org/iel5/5/6198296/06168212.pdf,63
263,"York MRI Facility, Centre for Vision Research, York University",1011,"Sensory compensation in sound localization in people with one eye",2012,35,"Adria EN Hoover and Laurence R Harris and Jennifer KE Steeves",,13
264,"Unknown affiliation",3489,"Hyaluronidase induction of a WW domain-containing oxidoreductase that enhances tumor necrosis factor cytotoxicity",2001,242,"Nan-Shan Chang and Nicole Pratt and John Heath and Lori Schultz and Daniel Sleve and Gregory B Carey and Nicole Zevotek",http://www.jbc.org/content/276/5/3361.full.pdf,176
265,"University of Chicago",2312,"Thieno [3, 4-c] pyrrole-4, 6-dione containing copolymers for high performance field-effect transistors",2013,68,"Qinghe Wu and Mao Wang and Xiaolan Qiao and Yu Xiong and Yangguang Huang and Xike Gao and Hongxiang Li",,177
266,"Proffessor, Physics Department, NTUA",877,"Ultra-short pulsed laser ablation of polymers",2001,72,"AA Serafetinides and MI Makropoulou and CD Skordoulis and AK Kar",,178
267,"Professor of Mathematics, University of Wollongong, Australia",2497,"A closed-form analytical solution for the valuation of convertible bonds with constant dividend yield",2006,88,"Song-Ping Zhu",http://ro.uow.edu.au/cgi/viewcontent.cgi?article=1447&context=infopapers,179
268,"Associate Professor, Department of Economics and Statistics University of Naples Federico II",572,"A recursive partitioning method for the prediction of preference rankings based upon kemeny distances",2016,22,"Antonio D’Ambrosio and Willem J Heiser",https://www.researchgate.net/profile/Willem_Heiser/publication/291355884_A_Recursive_Partitioning_Method_for_the_Prediction_of_Preference_Rankings_Based_Upon_Kemeny_Distances/links/57bd56fb08aedf5f75ebcae9.pdf,180
269,"Michigan State University",2886,"Measuring group processes: A comparison of the GCQ and CCI.",2006,78,"Jennifer E Johnson and Dalin Pulsipher and Shelby L Ferrin and Gary M Burlingame and D Robert Davies and Robert Gleave",https://www.researchgate.net/profile/Gary_Burlingame/publication/232567811_Measuring_group_processes_A_comparison_of_the_GCQ_and_CCI/links/004635162f21cbd54d000000/Measuring-group-processes-A-comparison-of-the-GCQ-and-CCI.pdf,181
270,"Postdoc - Laboraroty of Medicine and Pathobiology - University of Toronto",76,"Promiscuous interactions of human septins: the GTP binding domain of SEPT7 forms filaments within the crystal",2011,20,"Vitor Hugo Balasco Serrão and Fernando Alessandro and Victor Emanoel Armini Caldas and Rafaela Leite Marçal and Humberto D’Muniz Pereira and Otavio Henrique Thiemann and Richard Charles Garratt",https://www.sciencedirect.com/science/article/pii/S0014579311007940,182
271,"School of Interdiciplinary Mathematical Science, Meiji University",6000,"A hybrid particle swarm optimization for distribution state estimation",2003,536,"Shigenori Naka and Takamu Genji and Toshiki Yura and Yoshikazu Fukuyama",,121
272,"Charles Sturt University",404,"The nature of the ‘Reporter Voice",2008,13,"Tran Thi Hong Van and EA Thomson",http://ro.uow.edu.au/cgi/viewcontent.cgi?article=1191&context=artspapers,183
273,"Zonguldak Bulent Ecevit Universitesi",80,"Influences of autapse and channel blockage on multiple coherence resonance in a single neuron",2017,2,"Rukiye Uzun",,184
274,"University of Freiburg, Germany and Concept Engineering GmbH, Freiburg, Germany",905,"DTMC model checking by SCC reduction",2010,47,"Erika Abrahám and Nils Jansen and Ralf Wimmer and Joost-Pieter Katoen and Bernd Becker",https://pdfs.semanticscholar.org/bceb/a0df4bbc779e226d55e1eff6dbe7bf86bac0.pdf,NULL
275,"CNRS Researcher, UMR 6521, University of Brest, France",720,"Reactivity of carbanions of Fischer-type carbene complexes with pyrylium salts. Synthesis and characterization of new γ-methylenepyran carbene complexes via an addition …",2002,22,"Bertrand Caro and Pascal Le Poul and Françoise Robin-Le Guen and Jean-Yves Saillard and Samia Kahlal and Claude Moinet and Nicolas Le Poul and Jacqueline Vaissermann",,185
276,"University of Hartford",641,"Segmental contributions to trunk control in children with moderate-to-severe cerebral palsy",2015,24,"Sandra L Saavedra and Marjorie H Woollacott",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4457569/,23
277,"Medical Institute of Bioregulation, Kyushu University",5425,"Prediction of Japanese green tea ranking by gas chromatography/mass spectrometry-based hydrophilic metabolite fingerprinting",2007,164,"Wipawee Pongsuwan and Eiichiro Fukusaki and Takeshi Bamba and Tsutomu Yonetani and Toshiyaki Yamahara and Akio Kobayashi",,186
278,"Researcher, Tokyo University of Agriculture and Technology",175,"Stable cesium uptake and accumulation capacities of five plant species as influenced by bacterial inoculation and cesium distribution in the soil",2014,20,"Salem Djedidi and Katsuhiro Kojima and Hiroko Yamaya and Naoko Ohkama-Ohtsu and Sonoko Dorothea Bellingrath-Kimura and Izumi Watanabe and Tadashi Yokoyama",,187
279,"Berlin University of Technology em.",2556,"Geoelectrical methods",2006,72,"Kord Ernstson and Reinhard Kirsch",,188
280,"Professor, Spatial Hearing Laboratory, Chiba Institute of Technology, Japan",1005,"A new physical measure for psychological evaluation of a sound field: Front/back energy ratio as a measure for envelopment",1993,33,"M Morimoto and K Iida",,71
281,"Professor Adjunto Universidade Federal de Ouro Preto",294,"Myrmecofauna of the southern catarinense Restinga sandy coastal plain: new records of species occurrence for the State of Santa Catarina and Brazil",2010,12,"Danon Clemes Cardoso and Maykon Passos Cristiano",https://www.researchgate.net/profile/Danon_Cardoso2/publication/216849805_Myrmecofauna_of_the_Southern_Catarinense_Restinga_Sandy_Coastal_Plain_New_Records_of_Species_Occurrence_for_the_State_of_Santa_Catarina_and_Brazil/links/02bfe5112b16c4ea5e000000/Myrmecofauna-of-the-Southern-Catarinense-Restinga-Sandy-Coastal-Plain-New-Records-of-Species-Occurrence-for-the-State-of-Santa-Catarina-and-Brazil.pdf,189
282,"Postdoc at Joint Genome Institute",660,"New insights in Trichoderma harzianum antagonism of fungal plant pathogens by secreted protein analysis",2010,65,"Valdirene Neves Monteiro and Roberto do Nascimento Silva and Andrei Stecca Steindorff and Fabio Teles Costa and Eliane Ferreira Noronha and Carlos AndrÚ Ornelas Ricart and Marcelo Valle de Sousa and Marilene Henning Vainstein and Cirano JosÚ Ulhoa",https://www.researchgate.net/profile/Roberto_Silva12/publication/41826482_New_Insights_in_Trichoderma_harzianum_Antagonism_of_Fungal_Plant_Pathogens_by_Secreted_Protein_Analysis/links/0deec530c9c8e7f0d9000000.pdf,190
283,"NSRI (Nippon Steel & Sumikin Research Institute Corporation)",1572,"Quantitative classification of patina conditions for weathering steel using a recently developed instrument",1989,74,"Hiroshi Kihira and Satoshi Ito and Tomomi Murata",,191
284,"Royal Canin",106,"Effects of pre-and postnatal olfactogustatory experience on early preferences at birth and dietary selection at weaning in kittens",2009,51,"Aurelie Becques and Claire Larose and Patrick Gouat and Jessica Serra",https://academic.oup.com/chemse/article/35/1/41/304568,192
285,"Assoc. prof., CAVE lab dir., grad. prog. dir. (BME), Dept. of Engineering, Aarhus University",1028,"A new method for evaluation of cavitation near mechanical heart valves",2003,23,"Peter Johansen and Keefe B Manning and John M Tarbell and Arnold A Fontaine and Steven Deutsch and Hans Nygaard",https://www.researchgate.net/profile/John_Tarbell/publication/9007648_A_New_Method_for_Evaluation_of_Cavitation_Near_Mechanical_Heart_Valves/links/00b7d51407d9e609bf000000.pdf,193
286,"National Defense Academy of Japan",681,"Heat transfer augmentation in unsteady conjugate thermal systems–Part II: Applications",2013,58,"Richard Mathie and Hajime Nakamura and Christos N Markides",https://spiral.imperial.ac.uk/bitstream/10044/1/14332/2/International%20Journal%20of%20Heat%20and%20Mass%20Transfer_56_1-2_2013.pdf,152
287,"Associate Professor, lektor, Aalborg University",1382,"A viewpoint planning strategy for determining true angles on polyhedral objects by camera alignment",1997,37,"Claus B.  Madsen and Henrik I.  Christensen",https://pdfs.semanticscholar.org/c40e/337ceabdfb6b07eb2a78eac7e91c86748f52.pdf,194
288,"Escola de Química e Alimentos, Universidade Federal do Rio Grande - FURG",290,"Processos e operações unitárias da indústria Química",1970,14,"Marcelo Antunes GAUTO and Gilber Ricardo ROSA",,195
289,"University of Pennsylvania",542,"Multiple-Translation Arabic Corpus, Part 1",1970,9,"Kevin Walker and Moussa Bamba and David Miller and Xiaoyi Ma and Chris Cieri and George Doddington",,196
290,"BMT Program Director. National Center for Cancer Care and Research. Hamad Medical Corporation. Doha",3221,"Phlebotomy to reduce iron overload in patients cured of thalassemia by bone marrow transplantation",1997,149,"Emanuele Angelucci and Pietro Muretto and Guido Lucarelli and Marta Ripalti and Donatella Baronciani and Buket Erer and Maria Galimberti and Claudio Giardini and Djavid Gaziev and Paola Polchi",http://www.bloodjournal.org/content/90/3/994.full-text.pdf+html,66
291,"University of California, San Diego",4119,"Zinc oxide nanoparticle-polymeric thin films for dynamic strain sensing",2011,83,"Kenneth J Loh and Donghee Chang",https://link.springer.com/article/10.1007/s10853-010-4940-3,197
292,"Professor in Cognitive Development",10480,"Variation in working memory.",1970,345,"Andrew RA Conway and Christopher Ed Jarrold and Michael J Kane and Akira Miyake and John N Towse",https://www.researchgate.net/profile/Michael_Kane4/publication/285631970_Variation_in_Working_Memory_An_Introduction/links/56e80f6408aea51e7f3b0d8e/Variation-in-Working-Memory-An-Introduction.pdf,NULL
293,"University of Maragheh",228,"Covalently bonded pancreatic lipase onto the dithiocarbamate/chitosan-based magnetite: Stepwise fabrication of Fe3O4@ CS/NHCS-Lip as a novel and promising nanobiocatalyst",2017,17,"Ali Baghban and Mohammad Heidarizadeh and Esmail Doustkhah and Sadegh Rostamnia and Parisa Fathi Rezaei",,135
294,"Universidad de Guadalajara",98,"Expression of WNT genes in cervical cancer-derived cells: Implication of WNT7A in cell proliferation and migration",2015,29,"Moisés Ramos-Solano and Ivan D Meza-Canales and Luis A Torres-Reyes and Monserrat Alvarez-Zavala and Liliana Alvarado-Ruíz and Bladimiro Rincon-Orozco and Mariel Garcia-Chagollan and Alejandra B Ochoa-Hernández and Pablo C Ortiz-Lazareno and Frank Rösl and Patricio Gariglio and Luis F Jave-Suárez and Adriana Aguilar-Lemarroy",https://www.researchgate.net/profile/Ivan_Meza2/publication/293169584_EXPRESSION_LEVELS_OF_WNT_GENES_IN_CERVICAL_CANCER-DERIVED_CELL_LINES_WNT7A_IS_DOWN-REGULATED_AND_ITS_OVEREXPRESSION_INHIBITS_CELL_PROLIFERATION/links/5728848508ae0acc4f47a7f9/EXPRESSION-LEVELS-OF-WNT-GENES-IN-CERVICAL-CANCER-DERIVED-CELL-LINES-WNT7A-IS-DOWN-REGULATED-AND-ITS-OVEREXPRESSION-INHIBITS-CELL-PROLIFERATION.pdf,198
295,"Professor, School of Chemical Engineering, The University of Adelaide, Australia",29877,"Removal of dyes from aqueous solution using fly ash and red mud",2005,881,"Shaobin Wang and Y Boyjoo and A Choueib and ZH Zhu",,199
296,"University of Texas at Rio Grande Valley-School of Medicine",600,"Ovarian steroids modulate leu-enkephalin levels and target leu-enkephalinergic profiles in the female hippocampal mossy fiber pathway",2008,26,"Annelyn Torres-Reveron and Sana Khalid and Tanya J Williams and Elizabeth M Waters and Carrie T Drake and Bruce S McEwen and Teresa A Milner",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2639658/,200
297,"chung nam national university",109,"QTL Mapping of agronomic traits in an advanced backcross population from a cross between Oryza sativa L. cv. Milyang 23 and O. glaberrima",2008,11,"Ju-Won Kang and Jung-Pil Suh and Dong-Min Kim and Chang-Sik Oh and Ji-Min Oh and Sang-Nag Ahn",https://www.researchgate.net/profile/Sang_Nag_Ahn/publication/285423012_QTL_Mapping_of_agronomic_traits_in_an_advanced_backcross_population_from_a_cross_between_Oryza_sativa_L_cv_Milyang_23_and_O_glaberrima/links/56691f8008ae8d6928fbcfb0/QTL-Mapping-of-agronomic-traits-in-an-advanced-backcross-population-from-a-cross-between-Oryza-sativa-L-cv-Milyang-23-and-O-glaberrima.pdf,201
298,"McGill University",1413,"Periostin, a member of a novel family of vitamin K-dependent proteins, is expressed by mesenchymal stromal cells",2008,161,"Daniel L Coutu and Jian Hui Wu and Anne Monette and Georges-Etienne Rivard and Mark D Blostein and Jacques Galipeau",http://www.jbc.org/content/283/26/17991.full.pdf,176
299,"Australian national university",2452,"Ideological work in constructing the Malay majority",1970,66,"Anthony Milner",,202
300,"School of Mathematical Sciences, University College Dublin",359,"Emergence of coherent wave groups in deep-water random sea",2013,16,"Claudio Viotti and Denys Dutykh and John M Dudley and Frédéric Dias",,203
